building_name,zip_code,street,city,province,country,details,rooms_vacant,coordinates,average_rating,building_image
Sunrise Apartments,12345,Sunset Blvd,Los Angeles,California,USA,"Enjoy the convenience of being close to the city's vibrant downtown, filled with shops, restaurants, and entertainment options within a short walk or drive.",10,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.5,building1.jpeg
Ocean View Condos,54321,Seaside Ave,Miami,Florida,USA,"Situated directly on the beach, this property offers sandy shores and stunning ocean views just steps away. Wake up to breathtaking views of the nearby mountains, creating a scenic backdrop right outside your windows.",15,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.2,building2.png
Mountain Retreat,67890,Pine St,Denver,Colorado,USA,"Wake up to breathtaking views of the nearby mountains, creating a scenic backdrop right outside your windows.",5,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,3.8,building1.jpeg
Riverside Complex,11223,Bridge Rd,Portland,Oregon,USA,"Located near a peaceful river, perfect for scenic walks, picnics, or outdoor activities like fishing and kayaking.",20,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4,building2.png
City Center Plaza,33445,Main St,New York,New York,USA,"This property is at the center of it all, with prime access to bustling streets, major landmarks, and cultural attractions.",25,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.7,building1.jpeg
Green Valley Estates,55678,Valley Dr,San Francisco,California,USA,Close to parks,18,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.3,building2.png
Lakeview Tower,22334,Lake Ave,Chicago,Illinois,USA,Lake view,12,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.6,building1.jpeg
Parkside Residences,99012,Maple St,Seattle,Washington,USA,Next to park,16,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.1,building2.png
Sunnyvale Apartments,33456,Elm St,Austin,Texas,USA,Quiet neighborhood,20,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,3.9,building1.jpeg
Horizon Towers,22445,Hill Rd,Las Vegas,Nevada,USA,City skyline view,30,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.8,building2.png
Rosewood Residences,12356,Oak St,San Diego,California,USA,Residential area,8,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4,building1.jpeg
Maplewood Apartments,78901,Birch St,Orlando,Florida,USA,Family friendly,10,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.3,building2.png
Brookside Condos,33467,River Rd,Columbus,Ohio,USA,Scenic river view,6,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.4,building1.jpeg
Skylight Towers,66789,Star Ln,Dallas,Texas,USA,Skylight views,22,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.6,building2.png
Urban Oasis,99801,City Rd,Atlanta,Georgia,USA,Modern amenities,18,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.1,building1.jpeg
Pine Ridge Apartments,12378,Pine Ridge Ln,Phoenix,Arizona,USA,Quiet suburban,14,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,3.7,building2.png
Coastal Breeze Condos,45567,Ocean Dr,San Diego,California,USA,Beach access,25,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.2,building1.jpeg
Sunny Acres,56789,Sunny St,Nashville,Tennessee,USA,Spacious apartments,12,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4,building2.png
Lakeshore Apartments,33489,Lakeshore Dr,Milwaukee,Wisconsin,USA,Lakeside property,10,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.5,building1.jpeg
Cityview Residences,88790,Central Blvd,Boston,Massachusetts,USA,City views,15,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.4,building2.png
Riverbend Condos,11234,Riverbend St,St. Louis,Missouri,USA,Near river,20,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,3.8,building1.jpeg
Grandview Apartments,66712,Grandview Blvd,Houston,Texas,USA,High-rise building,22,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.6,building2.png
Meadowland Villas,33490,Meadow Ln,Charlotte,North Carolina,USA,Near meadows,14,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.2,building1.jpeg
Blue Skies Tower,55612,Blue Sky Rd,Las Vegas,Nevada,USA,Panoramic views,30,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.9,building2.png
Forest Glen Apartments,11245,Forest Dr,Detroit,Michigan,USA,Surrounded by greenery,12,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.1,building1.jpeg
Seaview Residences,22467,Ocean Blvd,Miami,Florida,USA,Oceanfront view,18,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.7,building2.png
Highland Gardens,33412,Garden St,Denver,Colorado,USA,Garden view,15,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,3.9,building1.jpeg
Sunset Villas,77890,Sunset Dr,Los Angeles,California,USA,Near beach,10,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.2,building2.png
The Outlook,99812,Outlook Ave,New York,New York,USA,Cityscape view,28,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.8,building1.jpeg
Hillside Apartments,33478,Hillside Rd,San Francisco,California,USA,Hillside view,12,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.3,building2.png
Riverwalk Residences,22345,Riverwalk St,San Antonio,Texas,USA,River view,16,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.1,building1.jpeg
Skyline Plaza,22345,Skyline Dr,Chicago,Illinois,USA,City views,25,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.7,building2.png
Sunnyhill Apartments,66723,Hilltop Rd,Phoenix,Arizona,USA,Hilltop location,10,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,3.8,building1.jpeg
Elmwood Tower,99823,Elm St,Seattle,Washington,USA,High-rise,14,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.6,building2.png
Greenwood Residences,33456,Greenwood Ave,Portland,Oregon,USA,Near parks,22,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.3,building1.jpeg
Shoreline Condos,55678,Shoreline Dr,Milwaukee,Wisconsin,USA,Lakefront property,18,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4.5,building2.png
Brightside Apartments,11234,Brightside St,Charlotte,North Carolina,USA,Well-lit apartments,12,https://maps.app.goo.gl/vD2GNqwr5mzgfxb5A,4,building1.jpeg
